Participant_ID,friends_in_degree,friends_out_degree,friends_closeness,friends_betweenness,advice_in_degree,advice_out_degree,advice_closeness,advice_betweenness,disrespect_in_degree,disrespect_out_degree,disrespect_closeness,disrespect_betweenness,moretime_in_degree,moretime_out_degree,moretime_closeness,moretime_betweenness,influential_in_degree,influential_out_degree,influential_closeness,influential_betweenness,feedback_in_degree,feedback_out_degree,feedback_closeness,feedback_betweenness,academic_score,mental_score,social_score
32392,0.0,0.0,0.0,0.0,4.0,7.0,0.03161290322580645,0.0016915035809045025,0.0,0.0,0.0,0.0,3.0,0.0,0.21333333333333335,0.0,8.0,1.0,0.2094677688008842,6.4699792960662525e-06,0.0,0.0,0.0,0.0,81.17437644585844,71.35454003589963,74.23917916801011
32393,5.0,1.0,0.03355704697986577,2.2673680391801197e-05,3.0,8.0,0.026344086021505377,0.001516946954734973,0.0,0.0,0.0,0.0,1.0,1.0,0.06666666666666667,0.0,4.0,3.0,0.1641996851700448,3.558488612836439e-05,0.0,0.0,0.0,0.0,83.85035767381088,75.61049996282642,72.73533343557443
32394,0.0,1.0,0.0,0.0,1.0,3.0,0.03191522518310737,0.0006702974444909929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.040654997176736304,0.0004787784679089027,0.0,0.0,0.0,0.0,85.3682122912448,75.64534905598968,71.60708558107433
32395,2.0,0.0,0.015100671140939596,0.0,10.0,1.0,0.10960151802656547,0.014222873900293255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,95.83829763500837,72.03785578677932,79.83869955808768
32397,1.0,6.0,0.006711409395973154,0.0,1.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,96.92592452782276,89.46835881287521,85.38941180364193
32398,3.0,0.0,0.030680728667305847,0.0,3.0,6.0,0.03795066413662239,0.0015584415584415582,1.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.045548654244306416,0.0,0.0,0.0,0.0,0.0,85.41042852377092,69.02136613567495,68.03499331465675
32399,6.0,0.0,0.041107382550335574,0.0,1.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.24823995122344,76.19571062758693,75.48565154069168
32400,0.0,0.0,0.0,0.0,4.0,3.0,0.03225806451612903,0.0002946515849741656,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.0,2.0,5.0,0.05010351966873706,0.0016821946169772255,0.0,0.0,0.0,0.0,81.57188483802138,74.0568428897448,75.47565316300587
32401,2.0,3.0,0.0436241610738255,0.00020406312352621076,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.06361754187841144,0.0019798136645962734,1.0,0.0,0.1,0.0,80.59217204865517,79.32645432736936,75.1674048676476
32402,0.0,3.0,0.0,0.0,5.0,10.0,0.05786415547986375,0.005966345482474516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.58291666518048,82.4443731035984,84.28172265264273
32403,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.06666666666666667,0.0,9.0,4.0,0.058945317257337725,0.001617494824016563,0.0,0.0,0.0,0.0,78.19323855382136,74.40963703843032,68.48546975626898
32404,4.0,3.0,0.0378076062639821,0.00034010520587701796,1.0,0.0,0.0064516129032258064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,90.22447046018294,86.43987729108524,80.58182578601496
32405,0.0,1.0,0.0,0.0,4.0,6.0,0.06320191158900836,0.03318321463482754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.012422360248447204,5.822981366459627e-05,0.0,0.0,0.0,0.0,89.76491737205427,76.78264507544694,78.18794801662669
