Source,Target,Relation
32392,32542,friends
32392,32548,friends
32394,32473,friends
32394,32531,friends
32394,32538,friends
32395,32398,friends
32397,32455,friends
32397,32548,friends
32398,32395,friends
32400,32522,friends
32402,32423,friends
32403,32496,friends
32403,32515,friends
32404,32427,friends
32404,32439,friends
32404,32481,friends
32404,32539,friends
32404,32552,friends
32407,32430,friends
32407,32447,friends
32407,32454,friends
32407,32509,friends
32407,32527,friends
32409,32470,friends
32409,32479,friends
32409,32550,friends
32410,32464,friends
32410,32486,friends
32410,32497,friends
32411,32395,friends
32411,32398,friends
32411,32436,friends
32411,32453,friends
32411,32499,friends
32411,32537,friends
32412,32398,friends
32412,32519,friends
32416,32449,friends
32416,32497,friends
32417,32410,friends
32417,32497,friends
32418,32449,friends
32418,32497,friends
32420,32429,friends
32420,32542,friends
32420,32548,friends
32421,32414,friends
32421,32445,friends
32421,32494,friends
32421,32498,friends
32422,32404,friends
32424,32407,friends
32424,32430,friends
32424,32447,friends
32424,32454,friends
32424,32527,friends
32426,32449,friends
32426,32497,friends
32427,32539,friends
32427,32552,friends
32428,32493,friends
32428,32515,friends
32428,32553,friends
32428,32560,friends
32429,32542,friends
32429,32548,friends
32430,32447,friends
32430,32454,friends
32430,32509,friends
32430,32527,friends
32431,32454,friends
32432,32424,friends
32432,32430,friends
32432,32431,friends
32432,32447,friends
32432,32451,friends
32432,32454,friends
32432,32502,friends
32432,32509,friends
32432,32510,friends
32432,32527,friends
32433,32497,friends
32434,32394,friends
32434,32531,friends
32434,32538,friends
32435,32423,friends
32436,32398,friends
32437,32403,friends
32437,32515,friends
32437,32560,friends
32438,32470,friends
32438,32479,friends
32439,32404,friends
32440,32400,friends
32440,32506,friends
32440,32511,friends
32443,32400,friends
32443,32530,friends
32444,32403,friends
32444,32493,friends
32444,32496,friends
32444,32515,friends
32444,32560,friends
32446,32400,friends
32446,32506,friends
32446,32511,friends
32448,32400,friends
32448,32506,friends
32448,32511,friends
32448,32530,friends
32449,32410,friends
32450,32403,friends
32450,32444,friends
32450,32515,friends
32450,32560,friends
32451,32407,friends
32451,32432,friends
32451,32447,friends
32451,32454,friends
32453,32395,friends
32453,32398,friends
32453,32436,friends
32453,32495,friends
32453,32499,friends
32453,32519,friends
32453,32537,friends
32457,32392,friends
32457,32542,friends
32457,32548,friends
32458,32449,friends
32458,32497,friends
32460,32454,friends
32460,32527,friends
32462,32430,friends
32462,32447,friends
32462,32454,friends
32462,32509,friends
32462,32527,friends
32464,32410,friends
32464,32486,friends
32464,32497,friends
32465,32497,friends
32467,32399,friends
32467,32489,friends
32467,32504,friends
32467,32511,friends
32470,32479,friends
32470,32546,friends
32470,32550,friends
32471,32467,friends
32471,32480,friends
32472,32398,friends
32473,32538,friends
32474,32512,friends
32475,32400,friends
32475,32511,friends
32475,32530,friends
32476,32400,friends
32476,32506,friends
32476,32511,friends
32477,32449,friends
32477,32497,friends
32478,32395,friends
32478,32398,friends
32478,32453,friends
32479,32425,friends
32479,32438,friends
32479,32469,friends
32479,32470,friends
32479,32517,friends
32479,32546,friends
32479,32550,friends
32480,32504,friends
32480,32512,friends
32481,32539,friends
32483,32480,friends
32484,32404,friends
32484,32539,friends
32485,32404,friends
32485,32539,friends
32486,32449,friends
32486,32497,friends
32488,32550,friends
32489,32467,friends
32490,32395,friends
32490,32398,friends
32490,32453,friends
